number_flights,origin_fips,dest_fips
444,34013,55079
444,48303,48113
444,34013,12095
444,48113,29189
445,55079,34013
445,20173,13063
445,13063,20173
445,26049,13063
446,13063,26049
446,04019,32003
446,48113,48303
447,17031,55009
448,17031,44003
448,55009,17031
448,49035,16083
448,44003,17031
449,48453,04013
450,13051,13063
450,13063,13051
451,48029,04013
452,06081,41051
453,48453,48439
453,48439,48453
454,51107,37119
454,41051,06081
456,48201,49035
456,48201,01073
456,04013,48453
458,01073,48201
458,49035,48201
461,51107,08031
461,32003,48201
464,04013,48029
464,29189,04013
464,49035,16013
465,04013,29189
465,06037,32031
466,33011,17031
466,17031,33011
467,48201,32003
467,06081,51107
467,08031,51107
468,13063,29165
468,22033,13063
469,51107,25025
469,13063,22033
469,32031,06037
469,29189,13063
469,29165,13063
470,47157,17031
470,17031,47157
470,26163,21015
472,53033,49035
472,06067,08031
472,08031,06067
473,06001,49035
474,32003,42045
474,13063,29189
475,28047,13063
475,49035,06001
475,49035,53033
476,16013,49035
476,27053,26163
476,13063,28047
476,49035,49053
476,49053,49035
478,42045,32003
478,22055,48201
479,48201,22055
480,32031,04013
480,08031,06085
480,06085,08031
480,04013,42045
480,42045,04013
480,04013,32031
482,39035,13063
482,36029,13063
482,13063,36029
483,39035,36081
483,08031,35001
484,37119,51013
484,35001,08031
485,36081,39035
487,21015,34013
489,51013,37119
490,34013,21015
491,06053,06037
491,35001,48113
491,42045,42003
491,36081,32003
492,32003,36081
493,36081,48201
494,06037,06065
494,26163,34013
494,34013,26163
494,48201,36081
494,32003,41051
494,55079,13063
495,06071,06085
495,41051,32003
495,13063,55079
495,06065,06037
496,06037,06053
496,12071,13063
497,36081,42003
498,48113,35001
498,06085,06071
499,37119,12057
499,12057,37119
499,12033,13063
500,12057,12011
500,13063,12071
500,24003,09003
501,12011,37119
503,06037,41051
504,13063,12033
504,49035,17031
504,41051,06037
504,17031,49035
505,12011,12057
508,51700,13063
510,09003,24003
511,06081,06059
513,13063,51700
514,24003,12057
514,37119,51107
515,06083,06081
516,48201,12095
516,36081,12086
516,12057,24003
518,12086,36081
520,48201,28121
520,06081,06083
521,51107,06081
522,06059,06081
523,12099,13063
524,28121,48201
524,12095,48201
525,48439,36081
526,36081,48439
526,13063,12099
527,25025,51107
528,42003,13063
529,13063,39153
530,39153,13063
530,13063,42003
532,48201,06037
534,36081,12099
534,12099,36081
537,51087,13063
538,24003,37119
538,13063,51087
